Se ko:lotl wan se tsana	El Alacrán y el Zanete
Tlilteotl	El Dios del Fuego
Se nehtlaltolli	El Juramento
Se meha:ts	La Muerte
Istaswateotl	La Diosa de la Sal
Ikone tlatomoniano	El Hijo del Trueno
San Juan	San Juan
Ke:ma nopa ko:lotl walki ipan ni: tlaltepaktli, walki para kinmiktis san ahkia kimiktis, pero para weliskiya, moneki axtlakwa chikome tonati.	Cuando el alacrán vino al mundo, vino con la intención de matar a quien picara, pero para que ello fuera posible tenía que ayunar siete días.
Yowiyaya ipan chikwase tonati axtlakwatoya, kema patlantoya asiko mosewiko ipan talli/tlaltepaktli se tsana.	Iba ya en el sexto día de su abstinencia, cuando volando, llegó a pararse en el suelo un zanete.
Kopa ko:lotl motekatoya seho se tetl, iwan nopa tsana, keme kiitak ika mahmawilistli kitlahtlanili:	El alacrán estaba acostado junto a una piedra y el zanete, al verlo, con miedo lo interrogó:
-¿Tle:n tichi:wa pilkolo:tsin?	¿Qué haces alacrancito?
Wan ne ko:lotl kinankilihi:	Y el alacrán le contestó:
-San nika axnitlakwa.	-Pues estoy aquí ayunando.
-¿Wan kenke? Kitlatlanilihi no:pa tsana.	-¿Y por qué? -le preguntó el zanete.
-¡Ah! Pampa ahkia na: nikwa moneki mikis.	-¡Ah! Porque a quien yo pique se tiene que morir.
Wan para panos moneki axnitlakwas chikome tonati, wan ya no:pa tlanawatilistli tle:n ni tlamiya, poliwia san se tonati.	Y para eso yo tengo que ayunar siete días; ésa es la misión que cumplo, ya nomás falta un día.
No:pa tsana kilihi:	El zanete le dijo:
¡Hummmm! Axnimiktokiliya tla tichiwas, pampa tlawel tipilkwekwetsin.	-¡Hummmmm...! No creo que lo logres porque eres bien chiquito.
Moneki tichiwaskiya titlakwas kewal na.	Lo que deberías hacer es comer como yo.
¡Tla timatiskiya kenihkatsa niyolpaki kema niixwitok.	¡Si vieras qué contento me pongo cuando estoy lleno! pero el alacrán buscaba razones y se defendía.
Pero ne: ko:lotl kitemoyaya tlamantli, wan momanawiyaya nopa tsana kipixki se tlamantli wan kitlahtlanilihi.	Entonces el zanete tuvo una idea y lo instigó.
-Xine:chkwa ipan se noikxi tla: neliya chkawak tite:kwa.	-Pícame mejor en una pata a ver si de verdad picas fuerte.
Nopa ko:lotl mosisinitok kikwahi ipan iikx pero no:pa tsana kilihi:	El alacrán molesto le picó una pata, pero el zanete le dijo:
-Axtle:n nimachilihi, mejor xitlakwaya, ayohana xitlaihyowi.	-No sentí nada, mejor ya come, ya no estés sufriendo.
Iwan nopa kolotl pehi kikwa ikxi nopa tsana.	Y el alacrán empezó a comer de su pata.
Kema tlaniyaya nopa tsana patlantehi iean mosewito imakayo se kwawitl iwan tsatsiyaya chikawak, pampa no:pa ite:nkokoyo nopa ko:lotl temahmati chikawak.	Ya mero terminaba cuando el zanete voló hasta la rama de un árbol mientras chillaba fuertemente porque los piquetes del alacrán habían sido tremendos.
Yeka kampanemi nopa tsana mokaki kwalli itsatsilis.	Es por eso que por donde anda el zanete se oyen claramente sus chillidos.
Tlawel chikawak kikwahi pero nopa tsana kimanawihi nopa tlakatl ipan no:pa tlaltepaktli para axmikis.	Fuerte fue el piquete de verdad, pero el zanete salvó al hombre de este mundo de morir picado por el alacrán.
No:pa eliyaya se tlakatl tle:n san mosewitoya ichan, e:chka tlixiktli, yon axkisayaya para tekitis, pero kenihkatsa isiwa kimatiyaya nopa iteta tle:n kimatiyaya, axkema tle:n kiihliyaya.	Este era un señor que nomás se la pasaba en su casa sentado cerca de la lumbre, no salía ni siquiera a trabajar; pero como su mujer sabía de los poderes que éste tenía, nunca le decía nada.
Kema asik tiempo para tlayis iwan kitlats iwan kichwas milli, kwalkantsi texwa kisayayahi wan kichiwayayah iwan kema tlami tlawel chowa yahe kitato intex;	Cuando se vino el tiempo de tumbar monte para quemar y hacer milpa, desde temprano sus cuñados salían a hacerlo y ya casi para terminar la roza, fueron a visitar a su cuñado;
kitlatlanelihe kema pewas tlaolchos, pampa ayok onkayaya tiempo iwan kenihkatsa kitlamaka isiwaikni iwan ya: axtekiti.	Le preguntaron cuándo iba a comenzar a rozar, pues el tiempo se estaba pasando, y de qué iba a comer su hermana si él no trabajaba.
Iwan nohia kimakilihe ika se mekatl.	No contentos con ese regaño todavía le pegaron con una reata.
Seyok tonati tliteotl kiihlihi nopa isiwa ma: kitlaxkalchiwilli pampa tekititi tlalli.	Un día después el señor de la lumbre le dijo a su mujer que le hiciera tortillas porque iba a ir a su terreno a trabajar.
Kema asito, achtowi kichhi se ohtli ite:no milla, iwan ka tlahotona kitlati, wehweyi titl michichi tlamixte:nki ika popokalistli, wankino kichihe para nochi tlakame ma: motemo matika.	Cuando llegó, lo primero que hizo fue un caminito alrededor de la milpa y, como el mediodía le pegó fuego, las grandes llamas que se originaron nublaron el cielo por la humazón, logrando que todo el pueblo se asustara.
Kema mokwapki icha kiihlihi isiwa para seyok tonati yas kito:kas, wankino ihatsa kitlawilis san ser kwartilla sintli iwa kimiktilis se piyo nenopa kwalli.	Al volver a su casa le dijo a su señora que al otro día iba a ir a sembrar, así que con que le pusiera una medida de a litro de maíz y le matara un pollo estaba bien.
Seyok tonati, ipan no:pa tokilistli kipale:witoh no:pa tsana, no:pa akwata, no:pa pa:lach, no:pa kalolo, no:pa kwato:chi, no:pa masatl, no:pa teho, no:pa mapachi wan seyok yolkame.	Al día siguiente, a la siembra acudieron a ayudarle el zanate, la cotorra, el pich-pi, el pavo real, el armadillo, el conejo, el venado, el tejón, el mapache y otros animales.
Kema asiko tekitiani, siwa  kitlaltoyaya mesa iwan teipa mohmosewihe tlakwa.	Cuando llegaron los trabajadores, su mujer ya había puesto la mesa y en seguida se sentaron a comer.
Nochime kiamatke pampa onkak ahwiak iwan kwalli tlakwalli, pero no:pa kalolo ya axkiamatki.	A todos la comida les pareció excelente y abundante, menos al armadillo.
Onkayaya achi nakatl ipan polato, chilli iwan tlaxkalli para se wan se.	Había un pedazo de carne en cada plato, chilito y tortillas para cada quien.
Pero no:pa kalolo pehi  kipinatiya no:pa chane, kiitoyaya para ya:  tlawel achitsi no:pa pedaso tle:n kimakatoyah iwan ika no:pa axixwis.	Pero el armadillo se empezó a burlar del señor de la casa; decía que para él era muy chiquito el pedazo que le había tocado y que con eso no se iba a llenar.
Wankino tlilteotl kiihlihi ma: tlakwe iwan kema kinekiskiya achiyok sampa tlatlaniskiya.	Entonces el señor de la lumbre le dijo que comiera y cuando quisiera más volviera a pedir.
No:pa kalolo pehi tlakwa iwan no:pa nakatl axtlimiyaya.	El armadillo empezó a comer y la carne no se acababa.
Tlakwayaya wan tlakwayaya iwan nopa nakatl axtlaniyaya, iwan kema kimachiltehi, iihti topontehi/kitlwatopontehi.	Comía y comía, y la carne no tenía fin, hasta que, de pronto, le reventó la panza, por lo que entre todos los demás tuvieron que comérsela.
Yeka teipa nochi kikwahe no:pa nakatl. Yeka nopa kalolome nama nesi kipiyah ipan inihti kwitlaxoxolochtike.	Debido a eso es que los armadillos conservan unas arrugas parecidas a una cicatriz en la panza.
Itstoyah se ichpokatl wan se telpokatl, tlawel motlasotlayayah iwan mehatsa no:pa tlasotlalist yehyektsi monextiyaya, nopa iwewe kinekiyaya kimatis tla: nehneliya nopa isiwatl tlawel kinekiyaya. Wankino se tonati kiihlihi nopa isiwa:	Había una pareja de jóvenes que se amaba y aunque el amor entre los dos era recíproco, el marido quería probar si el sentimiento de su mujer hacia él era verdadero, así que un día le dijo a su mujer:
-¡Na: tlawel nimitstlasohtla! Tlawel nimitstlasohtla achiyok que se teokwitlatl.	-¡Yo te quiero muchísimo! Te quiero más que todo el oro del mundo.
Iwan nineki nimts nehlihis para tla: timikis, na nohia nimikis.	Y quiero jurarte que si mueres, yo habré de morir también.
-Nimitsneltokiliya pampa na: nohia nimtstlasohtla.	-Te creo porque yo también te quiero igual.
Ne:chyolpaktiya motlahtol.	Me hacen muy feliz tus palabras sinceras.
Na: axninemiskiya tlata axtiistos.	Yo tampoco podré vivir sin ti.
Wan henopa motlahtoltihe/mokamawihe sesema/semaha.	Y así establecieron un juramento para siempre.  
Se tonati nopa iteta tekitito imilla, kampa istoya ieaya itlapalewiani kimaxmah kwawimw tlw:n tlawel wehweyi.	Un día el marido salió a trabajar al monte, donde estaba con sus peones desramando árboles de los más grandes.
Tle:n ni se tlakame tlehok iwan moihlipi para axkema wetsis, mosenkatoyaya iwan no:pa itekitiani, desde wahapa kintsatsilihi:	Como ya se había puesto de acuerdo con los jornaleros, desde arriba les gritó:
-Nama inyase nowaya nocha, xikhlika nosiwa para na: nimihi niwetski/ nimokwatepexowiihi ipan se kwawitl.	Ahora se van juntos a mi casa, le dicen a mi señora que yo caí de un árbol y me maté.
Ma: nochi tlakwal tlalli para niasis.	Que aliste todo para cuando me lleven ustedes.
No:pa tekitiani henopa kichihe: asitoh ika ixkwesoli kiyomelawatoh iswa, ya;chokatehi.	Los peones así lo hicieron: llegaron con la cara triste a dar la mala noticia a la esposa, quien rompió en llanto.
