kwookwilkwowit,	kwookwilkowit,
kwowkwilkwowit tehwa:n tikihtowah yo:n ma:pa:pata:wak.	nosotros le llamamos kwookwilkowit al que tiene las hoja anchas.
Sayoh tehwa:n tikihtowah kipata,	Sólo que nosotros decimos que cambia,
porin tehwa:n tikihtowah porin ma:pisi:ltik n' okseki.	porque nosotros decimos que el otro tiene las hojas pequeñas.
Ke:mah, ma:pisi:ltik.	Sí, tiene las hojas pequeñas.
yehwa sah yo:n kipata, pero n' kwookwilkwowit	solamente en eso cambia pero el kwookwilkowit,
Ika no:, no: kwali se: kimahse:wa.	También, también se puede comer.
Ke:mah.	Sí.
tein yo:n ma:pisi:ltik.	es el que tiene las hojas pequeñas.
kwokwilkwowit, kwokwilkwowit yehwa n' tein ma:pa:pata:wak.	kwookwilkowit es el que tiene las hojas anchas.
Wa:n wehkapan moskaltia y okwilkwowit kihtohtokeh yehwa n' tein tehwa:n tikihtowah okwilkwowit, yo:n ma:pisi:ltik,	Y crece alto y el dicen que el okwilkowit es el que nosotros le llamamos como okwilkowit, el que tiene las hojas pequeña,
wa:n a:mo semi wehkapan moskaltia.	y no crece muy alto.
Tepitsi:n sah.	Crece muy poco.
Ke:mah, mm.	Sí, mm.
Pero komo tehwa:n tiktatekiwtiah, yo:n kowtsí:n nochi kwaltia, para kowtati:l,	Pero si nosotros lo ocupamos, ese arbolito es muy útil, para leña,
kwaltia n' kowtati:l n' oksé: tein kiliah okwilkwowit wa:n kwaltia n' kwowtati:l n' oksé: tein kiliah kwowilkwowit.	se puede ocupar para leña al que le llaman okwilkowit y también sirve para leña el otro, al que le llaman kwookwilkowit.
Yo:n ke:mah. Nochi iwki sah.	Eso sí. Se parecen mucho.
Nochi iwki sah.	Se parecen mucho.
Nochi iwki sah.	Ambos se parecen.
Nochi iwki sah. Sayoh tepitsi:n kipata tikihtowah n' tehwa:n porin ixiwyo.	Se parecen mucho. Nosotros decimos que sólo se diferencian por las hojas.
Porin ixiwyo wa:n porin yo:n okwiltsí:n pahti.	Por la hoja y porque el animalito es medicinal.
